horizon_slice,dgp,dgp_label,n,method,cover60,cover80,width60,width80
h1_12,D1,AR(1),96,Theta,0.7008333333333333,0.8658333333333332,4.248528015818205,6.435932864261435
h1_12,D1,AR(1),96,TimesFM3,0.6108333333333333,0.8245833333333333,2.8296349743049505,4.390761487471238
h1_12,D1,AR(1),200,AutoARIMA,0.6016666666666667,0.7916666666666667,2.6374801339724545,4.016137735066243
h1_12,D1,AR(1),200,AutoETS,0.7041666666666667,0.86625,4.2196019441200985,6.425262649927734
h1_12,D1,AR(1),200,Combination,0.6941666666666667,0.8670833333333333,3.72393241545704,5.661822077220701
h1_12,D1,AR(1),200,SeasonalNaive,0.7670833333333333,0.9091666666666667,5.146883148894362,7.837250171480189
h1_12,D1,AR(1),200,Theta,0.7079166666666667,0.8675,4.314715168278565,6.544065846668126
h1_12,D1,AR(1),200,TimesFM3,0.6154166666666666,0.8133333333333332,2.7121665073571033,4.187380649572811
h1_12,D2,"ARMA(1,1)",24,AutoARIMA,0.53625,0.73125,3.1837714536404946,4.847985207582926
h1_12,D2,"ARMA(1,1)",24,AutoETS,0.665,0.83625,4.817446743308855,7.33561151921713
h1_12,D2,"ARMA(1,1)",24,Combination,0.64125,0.8325,4.297552195656537,6.522846098355643
h1_12,D2,"ARMA(1,1)",24,SeasonalNaive,0.6925,0.86375,5.084769284990532,7.742668290281632
h1_12,D2,"ARMA(1,1)",24,Theta,0.6166666666666667,0.8029166666666667,4.8914383900202605,7.384941568266875
h1_12,D2,"ARMA(1,1)",24,TimesFM3,0.5929166666666666,0.805,3.537693667457263,5.776944224856677
h1_12,D2,"ARMA(1,1)",48,AutoARIMA,0.5825,0.7716666666666667,3.3163023471936777,5.0497923475894435
h1_12,D2,"ARMA(1,1)",48,AutoETS,0.7170833333333333,0.87875,5.185624784119957,7.896242745924091
h1_12,D2,"ARMA(1,1)",48,Combination,0.7025,0.875,4.57978633712715,6.958375674028175
h1_12,D2,"ARMA(1,1)",48,SeasonalNaive,0.7179166666666668,0.8779166666666667,5.135566437809486,7.820018014983772
h1_12,D2,"ARMA(1,1)",48,Theta,0.7070833333333333,0.86625,5.237431880067816,7.929091928570991
h1_12,D2,"ARMA(1,1)",48,TimesFM3,0.6166666666666667,0.8195833333333333,3.3493678257237964,5.262684672245346
h1_12,D2,"ARMA(1,1)",96,AutoARIMA,0.5658333333333334,0.7633333333333333,3.0592054782143583,4.658306389543546
h1_12,D2,"ARMA(1,1)",96,AutoETS,0.7254166666666667,0.8929166666666667,5.152454622762738,7.8457339534637995
h1_12,D2,"ARMA(1,1)",96,Combination,0.71375,0.88875,4.47553505509115,6.80268639154786
h1_12,D2,"ARMA(1,1)",96,SeasonalNaive,0.725,0.89125,5.133302475559108,7.816570639548637
h1_12,D2,"ARMA(1,1)",96,Theta,0.7175,0.8933333333333333,5.214945064296353,7.904018831636235
